Page,Collaboration,Raw_Text,IP_Found,Matched_IP
4,N/A,"Phantasy Star Online 2: New Genesis x That Time I Get Reincarnated as a Slime | April 27, 2025 | Anime & Comics | RPG | Release Date: | 21/5/2025 | 5/21/2025 | The That Time I Got Reincarnated as a Slime collaboration is set for May 21 in Phantasy Star Online 2: New Genesis. During the collaboration, players pull from the Ten-Sura Style AC Scratch Ticket featuring avatar items and cosmetics based on characters from the anime. There will likely be specially themed login bonus rewards too. | Content Integration | PC | Console | Read more",True,that time i got reincarnated as a slim
4,N/A,"So I'm a Spider, So What? Ruler of the Labyrinth x That Time I Got Reincarnated as a Slime | April 25, 2025 | Anime & Comics | RPG | Release Date: | 10/5/2025 | 5/10/2025 | So I'm a Spider, So What? Ruler of the Labyrinth is collaborating with That Time I Got Reincarnated as a Slime. In this collaboration, over 10 characters from ""That Time I Got Reincarnated as a Slime"", including Rimuru, Milim, and Diablo, will appear in ""So I'm a Spider, So What? Ruler of the Labyrinth."" Players will be able to explore the labyrinth alongside collaboration characters, and equip the protagonist with items inspired by the world of That Time I Got Reincarnated as a Slime. Various in-game events are planned as part of the collaboration. | Content Integration | PC | Read more",True,that time i got reincarnated as a slim
4,N/A,"Overwatch 2 x Mobile Suit Gundam Wing | April 17, 2025 | Anime & Comics | Shooting | Release Date: | 29/4/2025 | 4/29/2025 | The collaboration should follow the format of previous ones, which means some heroes will receive skins inspired by major characters from the Gundam Wing series. Mercy is the only hero with a confirmed skin, as she had a brief appearance at the end of the Season 16 trailer. The amount of skins we'll receive is unknown, but most of them, if not all, will only be available through the in-game shop as collab skins tend to be a premium offering. The skins will come in special bundles along with other cosmetics like highlight intros, emotes, emblems, and player icons. The collab will probably add a new set of challenges, offering smaller cosmetics also Gundam-themed, like sprays or player icons, as rewards for completing them. | Content Integration | PC | Console | Read more",True,gundam
4,N/A,"Blood Strike x Attack on Titan | April 14, 2025 | Anime & Comics | Battle Royale | Release Date: | 11/4/2025 | 4/11/2025 | Players can expect to nab themed goodies such as exclusive character skins and even a fresh gameplay element thrown into the mix. Specifically, Scout Regiment’s Omni-Directional Mobility Gear will let you duke it out in aerial flight, whereas the collab skins let you play as Eren, Mikasa, Levi and the Armored Titan. Clearing Event Missions will reward you with two free collaboration weapon skins as well, including free Emotes and vouchers for all your hard work. Of course, simply logging in should already net you some goodies, such as the Avatar Frame Freedom Walker and the Stash Voucher | Content Integration | Mobile | PC | Read more",True,attack on titan
4,N/A,"Mobile Legends: Bang Bang x Naruto Shippuden | April 12, 2025 | Anime & Comics | Action | Release Date: | 2/5/2025 | 5/2/2025 | Moonton has finally revealed a celestially lined roster of Naruto-themed skins, a shocking array of new animations, and a whole new event system that mashes two universes into one epic battle. | Content Integration | Mobile | Read more",True,naruto
5,N/A,"Monster Energy Supercross 25 | April 7, 2025 | Consumer Brands | Racing | Release Date: | 10/4/2025 | 4/10/2025 | Get ready for the official 2025 Supercross season with Monster Energy Supercross 25! Experience the thrill of racing on newly designed tracks that replicate real-world events and compete against the latest roster of professional riders: forge your path in a revamped career featuring intense competitions, rivalries, and strategic choices. | Licensed Game | PC | Console | ReadÂ more",True,monster
5,N/A,"PUBG Mobile x Godzilla | April 3, 2025 | Film & Television | Battle Royale | Release Date: | 4/4/2025 | 4/4/2025 | PUBG Mobile has collaborated with the Godzilla to launch a limited-time event featuring themed in-game items. Players will have the chance to collect special edition items inspired by iconic monsters such as Godzilla, Burning Godzilla, Mecha Godzilla and The collaboration introduces a range of cosmetic items including costume sets, vehicle skins, gliders, motorcycles, helmets and backpacks. Miniature versions of Burning Godzilla and King Ghidorah will also be available as in-game âbuddiesâ that can accompany players on the battlefield.. The collaboration introduces a range of cosmetic items including costume sets, vehicle skins, gliders, motorcycles, helmets and backpacks. Miniature versions of Burning Godzilla and King Ghidorah will also be available as in-game âbuddiesâ that can accompany players on the battlefield. | Content Integration | Mobile | ReadÂ more",True,monster
5,N/A,"Puella Magi Madoka Magica Magia Exedra | April 1, 2025 | Anime & Comics | RPG | Release Date: | 26/3/2025 | 3/26/2025 | Characters from the hit anime series ""Puella Magi Madoka Magica"" come together! Featuring an all-new story setting and characters from the original ideas of Gekidan Inu Curry (Doroinu), experience the action alongside Magical Girl memories in this battle RPG | Licensed Game | Mobile | ReadÂ more",True,puella magi madoka magica
6,N/A,"PUBG Mobile x BabyMonster | March 24, 2025 | Bands & Musicians | Battle Royale | Release Date: | 21/3/2025 | 3/21/2025 | PUBG Mobile players can earn in-game rewards inspired by the idol group and participate in other interactive gameplay elements on the Erangel and Rondo maps. Additionally, players will be able to take photos with their favourite BABYMONSTER member in a photo booth at the centre of each area. Fans can also play the K-pop group’s music by equipping themselves with the BABYMONSTER-branded cassette player. | Content Integration | Mobile | Read more",True,monster
6,N/A,"MapleStory x Demon Slayer: Kimetsu no Yaiba | March 20, 2025 | Anime & Comics | RPG | Release Date: | 20/3/2025 | 3/20/2025 | A limited-time crossover is now live for MapleStory, with Demon Slayer: Kimetsu no Yaiba. The crossover features Tanjiro Kamado, Zenitsu Agatsuma, Inosuke Hashibira and more. The event includes the ability to create a character with a limited-time Tanjiro job, acquire skills like Water Breathing and Hinokami Kagura and pick up various crossover items. | Content Integration | PC | Read more",True,demon slayer
6,N/A,"Monster Hunter Puzzles: Felyne Isles x Sanrio Characters | March 7, 2025 | Anime & Comics | Puzzle | Release Date: | 7/3/2025 | 3/7/2025 | During the Monster Hunter Puzzles: Felyne Isles x Cinnamoroll collab event, you can look forward to clearing themed challenges and special quests to score equally adorable rewards, which means the Cinnamoroll House and Cinnamoroll Suit will be up for grabs to prettify your match-3 experience. Apart from the customisation options for your house, the collab also brings lovely cosmetics for your avatar, including a Cinnamoroll Pack you can wear on your back and a Cinnamoroll Pink effect for your avatar. | Content Integration | Mobile | Read more",True,monster
7,N/A,"Fortnite x Cowboy Bebop | February 23, 2025 | Anime & Comics | Battle Royale | Release Date: | 28/2/2025 | 2/28/2025 | Starting February 28, players can suit up as the iconic duo with official outfits available in the Fortnite Shop. Meanwhile, from March 1 to March 18, players can complete Cowboy Bebop Quests to earn XP and work towards Cowboy Bebop Bonus Goals. Completing these goals will unlock exclusive rewards, including the Cowboy Bebop Wrap and Bebop Legends Loading Screen | Content Integration | Mobile | PC | Console | ReadÂ more",True,cowboy bebop
7,N/A,"Funko Fusion x Universal Monsters | February 17, 2025 | Film & Television | Action | Release Date: | 14/2/2025 | 2/14/2025 | Funko Fusion has released the Universal Monsters DLC Pack. The expansion introduces Universalâs horror characters, including Dracula, Bride of Frankenstein, Invisible Man and Wolf Man, to the game. | Content Integration | PC | Console | ReadÂ more",True,monster
7,N/A,"Grand Summoners x That Time I Got Reincarnated as a Slime | February 12, 2025 | Anime & Comics | RPG | Release Date: | 14/2/2025 | 2/14/2025 | Summon Demon Lord Samurai Rimuru, Shuna, Veldora, & Shizu in Grand Summoners! And play their EPIC Event! | Content Integration | Mobile | ReadÂ more",True,that time i got reincarnated as a slim
7,N/A,"The Eminence in Shadow: Master of Garden x Re:Zero | February 11, 2025 | Anime & Comics | RPG | Release Date: | 20/2/2025 | 2/20/2025 | The collab will feature the additions of Emilia, Rem and Subaru, who will be facing the âInvisible Handâ (Petelgeuse). | Content Integration | Mobile | PC | ReadÂ more",True,re:zero
7,N/A,"Fortnite x Jujutsu Kaisen | February 11, 2025 | Anime & Comics | Battle Royale | Release Date: | 7/2/2025 | 2/7/2025 | Fortnite has introduced the second wave of its Jujutsu Kaisen crossover, adding new character skins and themed cosmetics. The latest crossover includes new character skins: Ryomen Sukuna â A powerful cursed spirit, Mahito â A dangerous curse with unique abilities and Toji Fushiguro â A skilled fighter with a complex background. Players can also obtain themed cosmetics, such as back blings and pickaxes. | Content Integration | Mobile | PC | Console | ReadÂ more",True,jujutsu kaisen
7,N/A,"Valkyrie Connect x KonoSuba | February 10, 2025 | Anime & Comics | RPG | Release Date: | 10/2/2025 | 2/10/2025 | Aqua, Megumin, and Darkness make their debut in Valkyrie Connect as collab heroes. Up to 230 free collab summons during the availability of the collab! Collect coins and tickets from the collab events. Exchange coins at the Exchange for the collab hero Darkness and growth materials. Items can be used to unlock an additional voice line. Use tickets at Vanirâs Trader to get exclusive costume gear and other collab items. Additionally, you will be able to obtain a fully voiced Valentine exclusive scenario. | Content Integration | Mobile | ReadÂ more",True,konosuba
8,N/A,"Three Kingdoms: Idle Chronicle x Gosu | January 23, 2025 | Anime & Comics | RPG | Release Date: | 23/1/2025 | 1/23/2025 | Three Kingdoms: Idle Chronicle is collaborating with Gosu. There will be a special pickup event which allows you to acquire collaboration officers with increased chances. During this event, you can also meet the new collaboration officers Yong Gang, Hong So, Gayoung Jin, and Gim Do. | Content Integration | Mobile | Read more",True,kingdom
8,N/A,"Lords Mobile x Terracotta Warriors of Qin Shihuang | January 13, 2025 | Heritage/Charity | Strategy | Release Date: | 1/1/2025 | 1/1/2025 | The legendary Terracotta Warriors of Emperor Qin Shihuang march into the world of Lords Mobile! This collaboration brings exclusive rewards and exciting new gameplay elements. Players can immerse themselves in the grandeur of the Qin Empire and claim treasures like the special Castle Skin, designed to enhance both the aesthetic and functional aspects of their kingdoms. This event also introduces a variety of limited-time quests and challenges inspired by the Terracotta Warriors. | Content Integration | Mobile | PC | Read more",True,kingdom
9,N/A,"Free Fire x Naruto Shippuden | January 9, 2025 | Anime & Comics | Battle Royale | Release Date: | 10/1/2025 | 1/10/2025 | Free Fire and Naruto Shippuden are joining forces to deliver a brand-new adventure, offering fans a chance to explore a fresh range of features inspired by the anime series. Players will experience exclusive Naruto-themed locations, unlock special items, and engage in exciting in-game events that will bring them closer to the world of shinobi. As part of the collaboration, the Hidden Leaf Village from Naruto is being reimagined in the Bermuda map of Free Fire. This revamped area replaces the Rim Nam Village, offering a new battleground complete with iconic landmarks. A unique feature of the collaboration is the Nine Tails Strikes Bermuda event, where the fearsome Nine-Tails will appear randomly during matches. Depending on which part of the battlefield the Nine Tails interacts with, players can expect special events such as destruction, damage, or unique power-ups. Free Fire will also introduce new gameplay mechanics inspired by Naruto’s world, significantly enhancing both the Battle Royale and Clash Squad modes. Free Fire will also introduce a series of exclusive collectible items as part of the collaboration, and iconic Naruto songs, including the anime’s main theme, will play during Free Fire matches. | Content Integration | Mobile | Read more",True,naruto
9,N/A,"Phantasy Star Online 2: New Genesis x Frieren: Beyond Journey’s End | January 8, 2025 | Anime & Comics | RPG | Release Date: | 8/1/2025 | 1/8/2025 | Phantasy Star Online 2: New Genesis (PSO2: NGS), has unveiled an collaboration with anime Frieren: Beyond Journey’s End. Players can dive into this crossover, which features themed avatar items, weapon camos, chat stamps, and other exclusive content inspired by the series. During the event, logging into PSO2: NGS rewards players with a variety of Frieren-themed bonuses. These include acrylic stand-style Build Parts depicting characters like Frieren, Fern, Stark, Himmel, Heiter, and Eisen. Players can also earn Special Scratch Tickets, SG, and GP, adding even more ways to enhance their experience. For those eager to embody the anime’s heroes, AC Scratch Tickets titled Frieren The Slayer Style offer the chance to cosplay as Frieren, Fern, and Stark. This collection includes intricately designed weapon camos replicating their signature gear, accessories like the Mirrored Lotus Bracelet and Frieren’s Briefcase, and voice-enabled chat stamps with memorable quotes from the anime. | Content Integration | PC | Console | Read more",True,frieren
9,N/A,"Guardian Tales x Frieren: Beyond Journey's End | January 7, 2025 | Anime & Comics | RPG | Release Date: | 7/1/2025 | 1/7/2025 | Frieren: Beyond Journey’s End is preparing for a whole new journey as Frieren and her companions fall through a rift in space and time and become trapped in a world unlike their own, only with the help of fierce guardians do they have any hope of getting home! Now-playable heroes Frieren, Fern, and Stark will face fierce enemies as they fight for survival in the pixelated world of Guardian Tales. Each of these heroes will come with their own unique weapons, and Stark will be available as part of this event’s rewards. | Content Integration | Mobile | Console | Read more",True,frieren
