Studios_Final,correlation
Kyoto Animation,0.9196087420193845
Brain's Base,0.7916587238618179
Bones,0.5821073463203824
Madhouse,0.563365473755421
A-1 Pictures,0.3018547037990324
MAPPA,0.2106720752639826
Shaft,-0.6166976465929902
Unknown,
